Word, Count
b'displaced',1
b'billion',1
b'religious',1
b'competitive',1
b'aspirations',1
b'poisoning',1
b'after',1
b'Ive',3
b'refused',1
b'African',1
b'administration',4
b'failing',1
b'gang',2
b'meeting',1
b'magnificent',1
b'vast',1
b'keeping',1
b'safer',1
b'yes',1
b'fast',2
b'protect',5
b'massive',1
b'outside',1
b'imposed',1
b'bring',4
b'optimism',1
b'prevent',1
b'still',1
b'law',4
b'alliance',2
b'fought',2
b'embrace',1
b'leadership',1
b'outdated',1
b'when',7
b'transition',1
b'every',8
b'funds',1
b'extremists',1
b'more',13
b'progress',1
b'According',2
b'uniform',2
b'world\xe2\x80\x94friend',1
b'triple',1
b'hire',1
b'requires',1
b'crime',1
b'moment',2
b'unity',1
b'war',4
b'Chrysler',1
b'behalf',1
b'chaos',1
b'Each',1
b'trade',4
b'Keystone',1
b'inside',2
b'gallery',3
b'beautiful',1
b'highest',1
b'humanitarian',1
b'saving',1
b'appoint',1
b'question',1
b'mistreated',1
b'fascism',1
b'factories',1
b'restraints',1
b'stop',4
b'any',2
b'goods',2
b'Another',1
b'choice',5
b'her',3
b'unify',1
b'viciously',2
b'removing',1
b'executive',1
b'John',1
b'give',3
b'8\xe2\x80\x94a',1
b'savings',1
b'shrink',1
b'obligation',1
b'reforms',2
b'into',5
b'pouring',2
b'Cures',1
b'out',8
b'General',2
b'among',1
b'onefourth',1
b'diagnosed',1
b'partners\xe2\x80\x94whether',1
b'keeps',1
b'Reducing',1
b'railways',1
b'kept',1
b'plan',4
b'rebuild',1
b'an',16
b'asking',6
b'line',1
b'chart',1
b'milestones',1
b'NATO',2
b'worlds',1
b'bold',1
b'ever',2
b'history',4
b'Crumbling',1
b'basic',1
b'generation',1
b'Softbank',1
b'ought',1
b'Michael',1
b'Operator',1
b'it',11
b'unite',1
b'legacy',1
b'nationwide',1
b'wall',1
b'Partnership',1
b'wealth',1
b'current',3
b'Ryans',1
b'which',2
b'so',15
b'tell',1
b'earthquake',1
b'lead',2
b'children',8
b'things',2
b'borders',4
b'Trade',2
b'build',1
b'told',2
b'Special',1
b'President',3
b'imposing',2
b'role',1
b'desperately',1
b'past',6
b'successful',1
b'is\xe2\x80\x94division',1
b'I',38
b'Victims',1
b'learning',1
b'NAFTA',1
b'Black',1
b'percent',2
b'motorcycles',2
b'sequester',1
b'lawless',2
b'soon',1
b'off',2
b'improved',1
b'Some',1
b'turn',1
b'Pentagon',1
b'network',1
b'Right',1
b'based',2
b'what',4
b'require',2
b'ordered',2
b'badly',2
b'5',2
b'produces',1
b'frank',1
b'mind',1
b'pressing',1
b'Abraham',1
b'youth',2
b'side',1
b'disaster',1
b'inventors',1
b'Pompe',1
b'glorious',1
b'Jenna',4
b'fear',1
b'budget',2
b'large',2
b'twice',2
b'memory',1
b'obligations',1
b'living',1
b'My',5
b'be',28
b'Supreme',1
b'record',3
b'others',2
b'come',4
b'State',5
b'She',1
b'start',1
b'chorus',2
b'No',2
b'steps',2
b'Food',1
b'demolish',1
b'real',1
b'Interstate',1
b'If',3
b'Very',1
b'legislation',1
b'countries',4
b'expand',2
b'here',2
b'cooperate',1
b'have',49
b'uncontrolled',1
b'Boston',1
b'lobbying',1
b'special',1
b'financially',1
b'As',4
b'field',1
b'they',23
b'cleared',1
b'trivial',1
b'Justice',4
b'confirmed',1
b'am',13
b'murdered',1
b'At',4
b'its',14
b'Should',1
b'officials',2
b'airports',1
b'workers',6
b'been',9
b'insurance',5
b'too',6
b'Bevin',1
b'can',11
b'reform',2
b'advice',1
b'bonds',1
b'justice',3
b'unemployed',1
b'symbol',1
b'drugs',3
b'coal',1
b'delivered',2
b'forge',1
b'Recent',1
b'former',1
b'lifetime',2
b'it\xe2\x80\x94that',1
b'level',1
b'my',7
b'together',4
b'Free',1
b'free',5
b'communities',2
b'day',2
b'criminals',1
b'products',2
b'highpaying',1
b'go',1
b'peaceful',1
b'became',2
b'undertaken',1
b'while',4
b'allow',4
b'center',1
b'Ford',1
b'achieve',3
b'series',1
b'ago',1
b'extinguish',1
b'case',1
b'Bible',1
b'Government',6
b'inspired',1
b'disease',2
b'world',13
b'way',4
b'compete',1
b'In',6
b'schools',1
b'reminded',1
b'spirit',3
b'truth',1
b'Congress',8
b'experienced',1
b'ban\xe2\x80\x94applause\xe2\x80\x94thank',1
b'many',12
b'unbounded',1
b'colors',1
b'public',3
b'two',4
b'Weve',4
b'light',2
b'for',54
b'issue',1
b'unprecedented',1
b'surge',1
b'It',6
b'credit',1
b'doing',2
b'operations',1
b'ignored',2
b'forgotten',1
b'join',2
b'them',10
b'integrity',1
b'right',6
b'seize',1
b'families',3
b'policies',1
b'went',1
b'theyre',1
b'whose',1
b'attempt',1
b'think',1
b'chosen',1
b'benefits',1
b'ask',2
b'conflict',2
b'class',3
b'roaring',1
b'City',1
b'partnerships',1
b'wellbeing',1
b'millions',5
b'Sciences',1
b'circumstances',1
b'proud',1
b'dream',1
b'forced',1
b'43',2
b'deportations',1
b'higher',1
b'artificially',1
b'Sprint',1
b'jobkilling',1
b'will',56
b'We',35
b'express',1
b'advances',1
b'closest',1
b'could',3
b'Mattis',1
b'trust',1
b'force',1
b'Owens',2
b'prime',1
b'masters',1
b'sheriffs',1
b'on',27
b'Engagement',1
b'against\xe2\x80\x94the',1
b'principle',1
b'unlimited',1
b'raid',1
b'hard',1
b'money',1
b'trillion',4
b'recovery',1
b'left',2
b'contracts',1
b'truly',3
b'looking',1
b'center\xe2\x80\x94with',1
b'enemies',1
b'differences',1
b'of',149
b'began',1
b'launch',1
b'placing',1
b'credits',1
b'shifted',1
b'enemy',2
b'Everything',1
b'young',3
b'livelihood',1
b'restore',2
b'graduate',1
b'and',189
b'necessity',1
b'When',2
b'same',6
b'reforming',1
b'project',1
b'in',73
b'really',1
b'beneath',1
b'worst',1
b'approval',1
b'jobcrushing',1
b'invest',2
b'society',1
b'water',1
b'leave',4
b'husbands',1
b'torch',2
b'faiths',1
b'shooting',1
b'path',2
b'years',7
b'unsustainable',1
b'taken',2
b'planet',1
b'deserve',2
b'corruption',1
b'access',4
b'open',1
b'Bad',1
b'markets',1
b'nation',4
b'From',1
b'He',2
b'longterm',1
b'cemeteries',1
b'our',108
b'addicted',1
b'2001',1
b'spoke',2
b'well',2
b'All',1
b'miracles',2
b'respect',4
b'beginning',2
b'placed',1
b'vehicle',1
b'asked',2
b'brighter',1
b'lobbyists',1
b'paid',1
b'disasters',2
b'exported',1
b'Chief',1
b'ISIS',1
b'Since',1
b'southern',1
b'break',3
b'wants',1
b'Megan',3
b'entire',1
b'released',1
b'Canada',2
b'recent',1
b'sales',1
b'along',2
b'fantastic\xe2\x80\x94new',1
b'prey',1
b'marvels',1
b'Constitution',1
b'magnet',1
b'drug',3
b'goals',2
b'he',6
b'away',1
b'sanctuary',1
b'woman',2
b'State\xe2\x80\x94the',1
b'me\xe2\x80\x94without',1
b'builders',1
b'grade',1
b'patients',1
b'list',1
b'safely',1
b'produce',1
b'built',1
b'werent',1
b'HarleyDavidson',1
b'decades',3
b'struggled',1
b'wear',1
b'approved',1
b'quickly',1
b'Task',2
b'VOICE',1
b'directed',2
b'rates',1
b'regulations',3
b'dad',1
b'ready',2
b'Jessica',3
b'telephone',1
b'women',5
b'Bell',1
b'Disease',1
b'precious',1
b'These',2
b'White',1
b'richly',1
b'persons',1
b'inner',2
b'For',3
b'tonight',10
b'prosper',1
b'creations',1
b'rate',5
b'Crowley',1
b'By',1
b'puts',1
b'sophomore',1
b'gained',1
b'generated',1
b'must',20
b'buy',2
b'Later',1
b'warriors',1
b'tools',1
b'ballistic',1
b'fantastic\xe2\x80\x94and',1
b'pay',2
b'strongly',2
b'serve',3
b'food',1
b'million',3
b'you',23
b'enter',1
b'financed',1
b'bleed',1
b'hurting',1
b'nearly',3
b'market',1
b'criminal',2
b'stands',1
b'far',3
b'reason',1
b'inherited',2
b'need',6
b'creating',2
b'last',6
b'nations',5
b'fighter',1
b'bound',1
b'burdened',1
b'power',1
b'Yet',1
b'kind',2
b'centers',1
b'disunity',1
b'companies',7
b'So',2
b'womens',1
b'vile',1
b'safety',1
b'like',5
b'time',11
b'provided',1
b'World',2
b'duty',1
b'TransPacific',1
b'over',4
b'failures',1
b'slaughtered',1
b'love',5
b'world\xe2\x80\x94all',1
b'Davis',3
b'lower',3
b'families\xe2\x80\x94including',1
b'focus',1
b'F35',1
b'lines',1
b'partners',1
b'That',2
b'engine',1
b'Graham',1
b'brave',3
b'disadvantaged',1
b'Oliver',4
b'6',2
b'God',3
b'pleas',1
b'daughter',2
b'rebuilding',3
b'dethroned',1
b'sound',1
b'wars',2
b'negotiate',1
b'cold',1
b'centennial',1
b'member',1
b'enforcement',3
b'get',6
b'about',2
b'ship',2
b'sons',1
b'theyve',1
b'worry',1
b'positive',1
b'broken',2
b'third',1
b'directive',1
b'marketplace',1
b'20',2
b'Trudeau',1
b'mission',1
b'Remington',1
b'blood',1
b'chapter',2
b'strategy',1
b'align',1
b'core',1
b'Have',1
b'Department',5
b'increases',1
b'late',1
b'vision',3
b'mark',1
b'Fourth',1
b'pipelines',2
b'how',3
b'Dwight',1
b'policy',3
b'bridges',2
b'Gorsuch',1
b'innocent',1
b'year',9
b'happen',1
b'rely',1
b'Today',3
b'withdrawn',1
b'places',2
b'Jr',1
b'developing',1
b'mothers',2
b'excelled',1
b'blinded',1
b'that',61
b'has',13
b'price',3
b'me',2
b'up',5
b'election',2
b'income',1
b'victims',2
b'regulation',1
b'met',1
b'ban',2
b'that\xe2\x80\x94and',2
b'US',1
b'targeting',1
b'easier',1
b'Bernardino',1
b'than',8
b'longer',2
b'means',1
b'hands',1
b'storied',1
b'spoken',1
b'forged',1
b'65',1
b'solved',1
b'men',5
b'cost',2
